REGION;COUNTRY;REPORTYEAR;POPULATION;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx
Eastern Mediterranean;Sudan;2021;44,9;0;0;0;0;0;0;0;205;205;0;0;0;0;0;0;0;0;0;0;0
America;Cuba;2021;11,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Kazakhstan;2021;19;4;4;0;4;4;0;5;124;129;3;0;37;40;2;0;0;0;0;0;0
America;Ecuador;2021;17,9;47;47;0;47;47;0;77;10;87;27;0;0;27;3;0;0;0;0;0;0
America;Panama;2021;4,4;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0
America;Guatemala;2021;18,2;1;1;0;1;1;0;2;15;17;0;0;0;0;0;0;0;0;0;0;0
Africa;Ethiopia;2021;117,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
South-East Asia;India;2021;1,393.40;552;552;0;541;541;0;830;8275;9105;482;2;2363;2847;151;133;0;133;19;18;4
America;Peru;2021;33,4;23;23;0;21;21;0;31;18;49;16;1;6;23;7;1;0;1;1;1;
Europe;Albania;2021;2,9;;;;;;;;21;21;;;;;;;;;;;
Western Pacific;Singapore;2021;5,9;15;13;2;15;13;2;24;47;71;12;0;11;23;2;1;0;1;1;1;0
America;Jamaica;2021;3;0;0;0;0;0;0;;0;0;0;0;2;2;0;0;0;0;0;0;0
Eastern Mediterranean;Libyan Arab Jamahiriya;2021;7;0;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0
Western Pacific;Philippines;2021;111;3;3;0;3;3;0;6;256;262;0;0;0;0;0;0;0;0;0;0;0
